cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,roles
2,253,1,27271963.39,100000008477350100;100000000437046100;100000004400305100;100000002398779100;100000004486525100,"Гипотеза: признаки сбора средств: 4 координ., 26 точек консолидации; 5 веерных распределителя; 45 транзитных; цепочка одного seed. Ключевой узел 100000008477350100 (координатор), оборот внутри 27 271 963 ₸",peripheral:136; transit:45; terminal:37; consolidator:26; distributor:5; coordinator:4
5,128,0,27235142.0,100000008547948100;100000002718366100;100000008489922100;100000002547110100;100000008710791100,"Гипотеза: признаки сбора средств: 1 координ., 15 точек консолидации; 7 веерных распределителя; 12 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000008547948100 (координатор), оборот внутри 27 235 142 ₸",peripheral:61; terminal:32; consolidator:15; transit:12; distributor:7; coordinator:1
6,126,0,24907250.33,100000000331309100;100000000332284100;100000006889963100;100000003741418100;100000008560717100,"Гипотеза: признаки сбора средств: 1 координ., 9 точек консолидации; 2 веерных распределителя; 14 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000000331309100 (координатор), оборот внутри 24 907 250 ₸",peripheral:60; terminal:40; transit:14; consolidator:9; distributor:2; coordinator:1
24,17,1,21586840.0,100000002224132100;100000004603109100;100000001965374100;100000005664922100;100000003835149100,"Гипотеза: признаки сбора средств: 0 координ., 2 точек консолидации; 5 транзитных; цепочка одного seed. Ключевой узел 100000002224132100 (точка консолидации), оборот внутри 21 586 840 ₸",terminal:7; transit:5; peripheral:3; consolidator:2
3,152,3,19885490.0,100000008165763100;100000007908818100;100000003684369100;100000008111003100;100000008304139100,"Гипотеза: признаки сбора средств: 3 координ., 6 точек консолидации; 6 веерных распределителя; 22 транзитных; объединяет 3 seed — вероятно, общая инфраструктура. Ключевой узел 100000008165763100 (координатор), оборот внутри 19 885 490 ₸",peripheral:76; terminal:39; transit:22; consolidator:6; distributor:6; coordinator:3
4,131,7,18913780.28,100000006518161100;100000003016635100;100000008144528100;100000000706545100;100000006069103100,"Гипотеза: признаки сбора средств: 1 координ., 11 точек консолидации; 2 веерных распределителя; 28 транзитных; объединяет 7 seed — вероятно, общая инфраструктура. Ключевой узел 100000006518161100 (точка консолидации), оборот внутри 18 913 780 ₸",peripheral:57; terminal:32; transit:28; consolidator:11; distributor:2; coordinator:1
8,106,4,16242879.02,100000005782781100;100000004015047100;100000005514161100;100000002894076100;100000001677929100,"Гипотеза: признаки сбора средств: 1 координ., 11 точек консолидации; 2 веерных распределителя; 21 транзитных; объединяет 4 seed — вероятно, общая инфраструктура. Ключевой узел 100000005782781100 (координатор), оборот внутри 16 242 879 ₸",peripheral:50; terminal:21; transit:21; consolidator:11; distributor:2; coordinator:1
7,126,0,14788037.85,100000008603629100;100000001857829100;100000002741024100;100000007629096100;100000004679953100,"Гипотеза: признаки сбора средств: 2 координ., 8 точек консолидации; 4 веерных распределителя; 18 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000008603629100 (координатор), оборот внутри 14 788 038 ₸",peripheral:74; terminal:20; transit:18; consolidator:8; distributor:4; coordinator:2
13,51,0,13990812.0,100000005242320100;100000002443664100;100000001282143100;100000008512827100;100000002956769100,"Гипотеза: признаки сбора средств: 0 координ., 4 точек консолидации; 3 веерных распределителя; 5 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000005242320100 (распределитель), оборот внутри 13 990 812 ₸",terminal:23; peripheral:16; transit:5; consolidator:4; distributor:3
14,44,0,10215968.84,100000005933757100;100000004159526100;100000002605308100;100000001937767100;100000002963189100,"Гипотеза: признаки сбора средств: 0 координ., 2 точек консолидации; 1 веерных распределителя; 6 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000005933757100 (распределитель), оборот внутри 10 215 969 ₸",peripheral:31; transit:6; terminal:4; consolidator:2; distributor:1
1,270,1,10178044.0,100000002578405100;100000001697501100;100000002733905100;100000002527114100;100000001166289100,"Гипотеза: признаки сбора средств: 0 координ., 1 точек консолидации; 3 веерных распределителя; 7 транзитных; цепочка одного seed. Ключевой узел 100000002578405100 (распределитель), оборот внутри 10 178 044 ₸",peripheral:254; transit:7; terminal:5; distributor:3; consolidator:1
9,91,1,9080395.26,100000002838861100;100000005578559100;100000005704413100;100000005473151100;100000008104567100,"Гипотеза: признаки сбора средств: 0 координ., 6 точек консолидации; 4 веерных распределителя; 10 транзитных; цепочка одного seed. Ключевой узел 100000002838861100 (точка консолидации), оборот внутри 9 080 395 ₸",peripheral:52; terminal:19; transit:10; consolidator:6; distributor:4
21,25,0,7556605.0,100000001887715100;100000001303311100;100000002748532100;100000008743913100;100000007229557100,"Гипотеза: признаки сбора средств: 0 координ., 4 точек консолидации; 2 веерных распределителя; 4 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000001887715100 (точка консолидации), оборот внутри 7 556 605 ₸",terminal:10; peripheral:5; consolidator:4; transit:4; distributor:2
10,59,1,6772097.0,100000003115284100;100000008730846100;100000000343175100;100000007998965100;100000006707582100,"Гипотеза: признаки сбора средств: 1 координ., 3 точек консолидации; 1 веерных распределителя; 10 транзитных; цепочка одного seed. Ключевой узел 100000003115284100 (точка консолидации), оборот внутри 6 772 097 ₸",peripheral:27; terminal:17; transit:10; consolidator:3; coordinator:1; distributor:1
31,13,0,6748650.0,100000007442518100;100000008258083100;100000000673868100;100000000821507100;100000002911170100,"Гипотеза: признаки сбора средств: 0 координ., 1 точек консолидации; 1 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000007442518100 (точка консолидации), оборот внутри 6 748 650 ₸",terminal:8; peripheral:3; consolidator:1; transit:1
17,30,1,6513430.0,100000007594394100;100000003854444100;100000008546855100;100000006274203100;100000008647905100,"Гипотеза: признаки сбора средств: 0 координ., 2 точек консолидации; 1 веерных распределителя; 7 транзитных; цепочка одного seed. Ключевой узел 100000007594394100 (точка консолидации), оборот внутри 6 513 430 ₸",peripheral:11; terminal:9; transit:7; consolidator:2; distributor:1
16,41,0,5151924.19,100000003242289100;100000008512552100;100000008413748100;100000006225798100;100000008221543100,"Гипотеза: признаки сбора средств: 0 координ., 2 точек консолидации; 2 веерных распределителя; 2 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000003242289100 (распределитель), оборот внутри 5 151 924 ₸",peripheral:27; terminal:8; distributor:2; consolidator:2; transit:2
20,25,0,5089597.0,100000006977207100;100000005527892100;100000008343874100;100000002531406100;100000002459832100,"Гипотеза: признаки сбора средств: 0 координ., 1 точек консолидации; 1 веерных распределителя; 4 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000006977207100 (распределитель), оборот внутри 5 089 597 ₸",terminal:11; peripheral:8; transit:4; distributor:1; consolidator:1
15,41,3,4888834.28,100000004156082100;100000005339662100;100000004820260100;100000000076451100;100000004527381100,"Гипотеза: признаки сбора средств: 1 координ., 2 точек консолидации; 10 транзитных; объединяет 3 seed — вероятно, общая инфраструктура. Ключевой узел 100000004156082100 (координатор), оборот внутри 4 888 834 ₸",peripheral:20; transit:10; terminal:8; consolidator:2; coordinator:1
39,7,3,4442461.0,100000003404627100;100000008637537100;100000001732159100;100000008232832100;100000002681449100,"Гипотеза: признаки сбора средств: 1 координ., 1 точек консолидации; 3 транзитных; объединяет 3 seed — вероятно, общая инфраструктура. Ключевой узел 100000003404627100 (точка консолидации), оборот внутри 4 442 461 ₸",transit:3; peripheral:2; consolidator:1; coordinator:1
11,52,5,4171441.0,100000008346837100;100000005074393100;100000008733194100;100000000489417100;100000001236706100,"Гипотеза: признаки сбора средств: 1 координ., 6 точек консолидации; 13 транзитных; объединяет 5 seed — вероятно, общая инфраструктура. Ключевой узел 100000008346837100 (координатор), оборот внутри 4 171 441 ₸",peripheral:26; transit:13; consolidator:6; terminal:6; coordinator:1
32,11,0,3784703.0,100000002175422100;100000003004487100;100000002710570100;100000001317336100;100000002975437100,"Гипотеза: признаки сбора средств: 0 координ., 2 точек консолидации; 1 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000002175422100 (точка консолидации), оборот внутри 3 784 703 ₸",peripheral:5; terminal:3; consolidator:2; transit:1
28,15,0,3626010.0,100000000791285100;100000008461532100;100000006704530100;100000003122817100;100000002691583100,"Гипотеза: 4 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000000791285100 (транзит), оборот внутри 3 626 010 ₸",peripheral:8; transit:4; terminal:3
26,15,0,3436955.0,100000004221668100;100000005171642100;100000003111305100;100000002459093100;100000006664478100,"Гипотеза: признаки сбора средств: 0 координ., 2 точек консолидации; 6 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000004221668100 (точка консолидации), оборот внутри 3 436 955 ₸",transit:6; peripheral:4; terminal:3; consolidator:2
23,18,0,3422800.0,100000003701161100;100000003718221100;100000002267998100;100000008137435100;100000003104347100,"Гипотеза: признаки сбора средств: 0 координ., 1 точек консолидации; 5 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000003701161100 (точка консолидации), оборот внутри 3 422 800 ₸",peripheral:8; transit:5; terminal:4; consolidator:1
42,7,0,3077000.0,100000002241986100;100000001053894100;100000002594214100;100000004047887100;100000001286703100,"Гипотеза: 1 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000002241986100 (транзит), оборот внутри 3 077 000 ₸",peripheral:6; transit:1
25,17,1,2977887.0,100000002731501100;100000001330595100;100000003616818100;100000004144536100;100000004160650100,"Гипотеза: признаки сбора средств: 0 координ., 6 точек консолидации; 1 веерных распределителя; цепочка одного seed. Ключевой узел 100000002731501100 (точка консолидации), оборот внутри 2 977 887 ₸",consolidator:6; terminal:5; peripheral:5; distributor:1
12,51,1,2950313.0,100000001899164100;100000003265158100;100000004386258100;100000002193259100;100000002679516100,"Гипотеза: признаки сбора средств: 0 координ., 5 точек консолидации; 1 веерных распределителя; 10 транзитных; цепочка одного seed. Ключевой узел 100000001899164100 (точка консолидации), оборот внутри 2 950 313 ₸",peripheral:32; transit:10; consolidator:5; terminal:3; distributor:1
52,5,1,2809200.0,100000004135268100;100000002738256100;100000007507343100;100000004979498100;100000008571433100,"Гипотеза: 3 транзитных; цепочка одного seed. Ключевой узел 100000004135268100 (транзит), оборот внутри 2 809 200 ₸",transit:3; terminal:1; peripheral:1
49,6,0,2540000.0,100000004479404100;100000004717647100;100000002922000100;100000002659103100;100000001533161100,"Гипотеза: 1 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000004479404100 (периферия), оборот внутри 2 540 000 ₸",peripheral:5; transit:1
50,6,0,2534500.0,100000003747133100;100000004722765100;100000005075949100;100000002578653100;100000006527156100,"Гипотеза: признаки сбора средств: 0 координ., 1 точек консолидации; 1 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000003747133100 (точка консолидации), оборот внутри 2 534 500 ₸",peripheral:4; consolidator:1; transit:1
38,8,0,2473417.91,100000004906181100;100000008175078100;100000008675322100;100000000557536100;100000008349740100,"Гипотеза: 1 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000004906181100 (транзит), оборот внутри 2 473 418 ₸",peripheral:7; transit:1
19,26,14,2289450.0,100000004403675100;100000005382566100;100000003988112100;100000008516839100;100000005668605100,"Гипотеза: признаки сбора средств: 0 координ., 4 точек консолидации; 15 транзитных; объединяет 14 seed — вероятно, общая инфраструктура. Ключевой узел 100000004403675100 (точка консолидации), оборот внутри 2 289 450 ₸",transit:15; peripheral:6; consolidator:4; terminal:1
41,7,0,1765600.0,100000007392365100;100000007865484100;100000008551752100;100000003631015100;100000004976946100,"Гипотеза: 1 транзитных; без seed — дальнее окружение сети. Ключевой узел 100000007392365100 (транзит), оборот внутри 1 765 600 ₸",peripheral:6; transit:1
